2701,"Moby Dick; Or, The Whale - Melville, Herman - en"
84,"Frankenstein; Or, The Modern Prometheus - Shelley, Mary Wollstonecraft - en"
1513,"Romeo and Juliet - Shakespeare, William - en"
1342,"Pride and Prejudice - Austen, Jane - en"
2641,"A Room with a View - Forster, E. M. (Edward Morgan) - en"
100,"The Complete Works of William Shakespeare - Shakespeare, William - en"
16328,Beowulf: An Anglo-Saxon Epic Poem -  - en
145,"Middlemarch - Eliot, George - en"
37106,"Little Women; Or, Meg, Jo, Beth, and Amy - Alcott, Louisa May - en"
33944,"How to Observe: Morals and Manners - Martineau, Harriet - en"
345,"Dracula - Stoker, Bram - en"
11,"Alice's Adventures in Wonderland - Carroll, Lewis - en"
67979,"The Blue Castle: a novel - Montgomery, L. M. (Lucy Maud) - en"
16389,"The Enchanted April - Von Arnim, Elizabeth - en"
394,"Cranford - Gaskell, Elizabeth Cleghorn - en"
2160,"The Expedition of Humphry Clinker - Smollett, T. (Tobias) - en"
6761,"The Adventures of Ferdinand Count Fathom — Complete - Smollett, T. (Tobias) - en"
6593,"History of Tom Jones, a Foundling - Fielding, Henry - en"
4085,"The Adventures of Roderick Random - Smollett, T. (Tobias) - en"
1259,"Twenty years after - Dumas, Alexandre, Maquet, Auguste - en"
5197,"My Life — Volume 1 - Wagner, Richard - en"
174,"The Picture of Dorian Gray - Wilde, Oscar - en"
3207,"Leviathan - Hobbes, Thomas - en"
2554,"Crime and Punishment - Dostoyevsky, Fyodor - en"
56517,"The Philosophy of Auguste Comte - Lévy-Bruhl, Lucien - en"
52621,"Society in America, Volume 1 (of 2) - Martineau, Harriet - en"
43,"The Strange Case of Dr. Jekyll and Mr. Hyde - Stevenson, Robert Louis - en"
5200,"Metamorphosis - Kafka, Franz - en"
10554,"Right Ho, Jeeves - Wodehouse, P. G. (Pelham Grenville) - en"
64317,"The Great Gatsby - Fitzgerald, F. Scott (Francis Scott) - en"
28054,"The Brothers Karamazov - Dostoyevsky, Fyodor - en"
7241,"Fables of La Fontaine — a New Edition, with Notes - La Fontaine, Jean de - en"
98,"A Tale of Two Cities - Dickens, Charles - en"
56877,"The eleventh hour in the life of Julia Ward Howe - Elliott, Maud Howe - en"
25344,"The Scarlet Letter - Hawthorne, Nathaniel - en"
1260,"Jane Eyre: An Autobiography - Brontë, Charlotte - en"
1998,"Thus Spake Zarathustra: A Book for All and None - Nietzsche, Friedrich Wilhelm - en"
6130,The Iliad - Homer - en
1184,"The Count of Monte Cristo - Dumas, Alexandre, Maquet, Auguste - en"
2591,"Grimms' Fairy Tales - Grimm, Jacob, Grimm, Wilhelm - en"
2600,"War and Peace - Tolstoy, Leo, graf - en"
26184,Simple Sabotage Field Manual - United States. Office of Strategic Services - en
1661,"The Adventures of Sherlock Holmes - Doyle, Arthur Conan - en"
2542,"A Doll's House : a play - Ibsen, Henrik - en"
36034,"White Nights and Other Stories: The Novels of Fyodor Dostoevsky, Volume X - Dostoyevsky, Fyodor - en"
76,"Adventures of Huckleberry Finn - Twain, Mark - en"
1080,"A Modest Proposal: For preventing the children of poor people in Ireland, from being a burden on their parents or country, and for making them beneficial to the publick - Swift, Jonathan - en"
60976,"Rip Van Winkle - Irving, Washington - en"
1232,"The Prince - Machiavelli, Niccolò - en"
844,"The Importance of Being Earnest: A Trivial Comedy for Serious People - Wilde, Oscar - en"
4300,"Ulysses - Joyce, James - en"
74,"The Adventures of Tom Sawyer, Complete - Twain, Mark - en"
8800,The divine comedy - Dante Alighieri - en
34901,"On Liberty - Mill, John Stuart - en"
7370,"Second Treatise of Government - Locke, John - en"
3296,"The Confessions of St. Augustine - Augustine, Saint, Bishop of Hippo - en"
3201,"Moby Word Lists - Ward, Grady - en"
45,"Anne of Green Gables - Montgomery, L. M. (Lucy Maud) - en"
61963,"We - Zamiatin, Evgenii Ivanovich - en"
27320,"St. John's College, Cambridge - Scott, Robert Forsyth - en"
1497,The Republic - Plato - en
1400,"Great Expectations - Dickens, Charles - en"
41445,"Frankenstein; Or, The Modern Prometheus - Shelley, Mary Wollstonecraft - en"
4363,"Beyond Good and Evil - Nietzsche, Friedrich Wilhelm - en"
205,"Walden, and On The Duty Of Civil Disobedience - Thoreau, Henry David - en"
27827,"The Kama Sutra of Vatsyayana: Translated From the Sanscrit in Seven Parts With Preface, Introduction and Concluding Remarks - Vatsyayana - en"
61221,"A passage to India - Forster, E. M. (Edward Morgan) - en"
1952,"The Yellow Wallpaper - Gilman, Charlotte Perkins - en"
49266,"The Wars of Religion in France 1559-1576: The Huguenots, Catherine de Medici and Philip II - Thompson, James Westfall - en"
768,"Wuthering Heights - Brontë, Emily - en"
33283,"Calculus Made Easy: Being a very-simplest introduction to those beautiful methods which are generally called by the terrifying names of the Differential Calculus and the Integral Calculus - Thompson, Silvanus P. (Silvanus Phillips) - en"
408,"The Souls of Black Folk - Du Bois, W. E. B. (William Edward Burghardt) - en"
3206,"Moby Multiple Language Lists of Common Words - Ward, Grady - en"
1727,The Odyssey: Rendered into English prose for the use of those who cannot read the original - Homer - en
64820,"The Vibration Wasps - Long, Frank Belknap - en"
72679,"The lesser Key of Solomon, Goetia, the book of evil spirits : $b contains two hundred diagrams and seals for invocation and convocation of spirits, necromancy, witchcraft and black art -  - en"
2739,"More Letters of Charles Darwin — Volume 1: A Record of His Work in a Series of Hitherto Unpublished Letters - Darwin, Charles - en"
37683,Chambers's Twentieth Century Dictionary (part 1 of 4: A-D) -  - en
4351,"The English Constitution - Bagehot, Walter - en"
69087,"The murder of Roger Ackroyd - Christie, Agatha - en"
30254,The Romance of Lust: A classic Victorian erotic novel - Anonymous - en
16833,"Auguste Comte and Positivism - Mill, John Stuart - en"
158,"Emma - Austen, Jane - en"
